date,model_version,code,name,close,return_5d,return_20d,momentum_acceleration,ma25_distance,volume_ratio_20d,drawdown_252d_high,peak_age,higher_low,ma5_rising,volatility_contracting,long_adjustment,high_base,early_price_setup,confirm_setup,early_grade,margin_data_available,margin_date,margin_buy_latest,margin_sell_latest,margin_buy_change_4obs_pct,margin_buy_change_13obs_pct,strategy,reason
2026-08-28,7.1-EARLY-RESEARCH-R2,9007,小田急電鉄,1785.0,0.5633802816901401,-1.7341040462427793,0.9969062932508349,2.482546389858542,0.6364296511455586,-4.672897196261683,21,True,True,True,False,True,False,False,A,False,,,,,,NONE,高値持ち合い後 / 安値切り上げ / 5日線上向き / 勢い改善 / 25日線付近
2026-08-28,7.1-EARLY-RESEARCH-R2,1925,大和ハウス工業,4716.0,0.5758157389635254,-2.4006622516556275,1.1759813018774323,1.3339292467425379,0.7616243821465163,-18.759689922480614,132,True,True,True,True,False,False,False,A,False,,,,,,NONE,長期調整後 / 安値切り上げ / 5日線上向き / 勢い改善 / 25日線付近
2026-08-28,7.1-EARLY-RESEARCH-R2,4502,武田薬品工業,5800.0,0.6245662734212454,1.4340678558936615,0.26604930944783,2.7399686820233526,0.7751814523638577,-3.8620918282778027,100,True,True,True,False,True,False,False,A,False,,,,,,NONE,高値持ち合い後 / 安値切り上げ / 5日線上向き / 勢い改善 / 25日線付近
2026-08-28,7.1-EARLY-RESEARCH-R2,9301,三菱倉庫,1521.0,0.6951340615690249,-5.085803432137281,1.9665849196033451,-0.8577984043385389,0.8307903447162348,-7.901907356948223,23,True,True,True,False,True,False,False,A,False,,,,,,NONE,高値持ち合い後 / 安値切り上げ / 5日線上向き / 勢い改善 / 25日線付近
2026-08-28,7.1-EARLY-RESEARCH-R2,5411,ＪＦＥホールディングス,1859.0,0.7315090761311316,-0.32171581769436797,0.8119380305547236,1.8998651567142089,0.8457891938166335,-21.195421788893597,133,True,True,True,True,False,False,False,A,False,,,,,,NONE,長期調整後 / 安値切り上げ / 5日線上向き / 勢い改善 / 25日線付近
2026-08-28,7.1-EARLY-RESEARCH-R2,9531,東京瓦斯,6136.0,0.7553366174055887,-2.0277822129969647,1.2622821706548297,0.7513661202185773,0.7728984714762442,-22.982301995732403,119,True,True,True,True,False,False,False,A,False,,,,,,NONE,長期調整後 / 安値切り上げ / 5日線上向き / 勢い改善 / 25日線付近
2026-08-28,7.1-EARLY-RESEARCH-R2,3086,Ｊ．フロント　リテイリング,3047.0,0.7939133311280155,1.7532142260811456,0.35560977460772913,2.03876602413835,1.8886747323688549,-15.758916228918995,41,True,True,True,False,False,False,False,A,False,,,,,,NONE,安値切り上げ / 5日線上向き / 出来高1.9倍 / 勢い改善 / 25日線付近
2026-08-28,7.1-EARLY-RESEARCH-R2,9021,西日本旅客鉄道,2983.0,0.7940530495015974,-5.030245144858325,2.0516143357161787,0.7015009013510154,0.7892983916911346,-16.60609449259156,249,True,True,True,True,False,False,False,A,False,,,,,,NONE,長期調整後 / 安値切り上げ / 5日線上向き / 勢い改善 / 25日線付近
2026-08-28,7.1-EARLY-RESEARCH-R2,2501,サッポロビール,1932.0,0.8087659796504054,-7.115384615384612,2.5876121334965587,-2.291002882718862,0.7273352754314825,-76.65820949619427,182,True,True,True,True,False,False,False,A,False,,,,,,NONE,長期調整後 / 安値切り上げ / 5日線上向き / 勢い改善 / 25日線付近
2026-08-28,7.1-EARLY-RESEARCH-R2,1808,長谷工コーポレーション,2880.5,0.8401890425345782,1.6766678432756699,0.4210220817156607,2.986814255477377,0.7296122167626993,-18.42254318889833,133,True,True,True,True,False,False,False,A,False,,,,,,NONE,長期調整後 / 安値切り上げ / 5日線上向き / 勢い改善 / 25日線付近
2026-08-28,7.1-EARLY-RESEARCH-R2,9202,ＡＮＡホールディングス,3068.0,0.9210526315789558,-2.6958452267681565,1.595013938270995,-0.7415267946113135,0.8166969147005445,-10.266159695817489,123,True,True,True,False,True,False,False,A,False,,,,,,NONE,高値持ち合い後 / 安値切り上げ / 5日線上向き / 勢い改善 / 25日線付近
