市場日付,銘柄名,コード,Ticker,株価,総合点,ランク,判定,PER,予想PER,PBR,ROE%,配当利回り%,売上成長率%,利益成長率%,RSI,前日比%,5日%,20日%,MomentumAcceleration%,1か月%,3か月%,6か月%,25日乖離%,60日高値乖離%,20日平均出来高,MA25,MA75,MA200,ATR14,20日安値,買いゾーン下限,買いゾーン上限,損切り目安,利確目安,ATR損切り,Swing損切り,期待利益%,想定損失%,RR比,半導体AI関連,高配当候補,理由,Ver6順位,signal_id,signal_start_date,signal_start_price,SignalAge,days_outside_gate,FirstSignalReturn%,前回Ver6順位,RankVelocity,ScoreVelocity,Phase,Action
2026-08-18,三井住友トラストグループ,8309,8309.T,1734.0,119.6,B,買い候補,13.1,4.7,1.3,10.8,275.0,27.3,59.8,62.7,0.32,3.31,7.53,1.42,7.5,22.9,22.7,2.8,-1.08,10361320.0,1686.8,1538.1,1330.8,41.15,1573.5,1682.0,1769.0,1595.0,1994.0,1672.3,1565.6,15.0,-8.0,1.87,,該当,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,1,8309_20260818_01,2026-08-18,1734.0,2.0,0,0.0,1.0,0.0,0.0,ACCELERATION,ENTRY
2026-08-18,スズキ,7269,7269.T,2081.0,116.4,B,買い候補,9.1,11.8,1.1,15.3,249.0,22.0,80.0,56.1,-0.55,2.61,1.49,2.24,1.5,18.7,-10.4,2.38,-3.37,8172325.0,2032.6,1943.3,2075.6,66.6,1806.0,2019.0,2123.0,1915.0,2393.0,1981.1,1797.0,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,2,7269_20260818_01,2026-08-18,2081.0,2.0,0,0.0,2.0,0.0,0.0,ACCELERATION,ENTRY
2026-08-18,野村ホールディングス,8604,8604.T,1554.0,115.3,B,買い候補,11.7,17.1,1.2,11.2,327.0,31.2,42.0,52.3,-0.32,0.26,2.24,-0.3,2.2,24.3,9.8,-0.64,-4.43,10286235.0,1564.1,1425.1,1319.2,39.43,1455.5,1507.0,1585.0,1430.0,1787.0,1494.9,1448.2,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,3,8604_20260818_01,2026-08-18,1554.0,2.0,0,0.0,3.0,0.0,0.0,NEW,WATCH
2026-08-18,第一生命ホールディングス,8750,8750.T,1841.5,115.0,B,買い候補,15.2,5.0,1.5,13.6,390.0,28.0,278.3,46.3,-0.3,0.11,2.36,-0.48,2.4,11.2,28.2,-2.3,-6.0,9980175.0,1884.9,1751.0,1485.9,46.78,1804.0,1786.0,1878.0,1694.0,2118.0,1771.3,1795.0,15.0,-8.0,1.87,,該当,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,4,8750_20260818_01,2026-08-18,1841.5,2.0,0,0.0,4.0,0.0,0.0,NEW,WATCH
2026-08-18,大和証券グループ本社,8601,8601.T,1771.0,114.7,B,買い候補,14.3,18.0,1.4,11.0,394.0,57.2,82.6,48.0,-0.42,-0.98,-0.48,-0.86,-0.5,20.3,8.2,-2.65,-5.75,4550480.0,1819.1,1645.2,1498.9,42.13,1741.5,1718.0,1806.0,1629.0,2037.0,1707.8,1732.8,15.0,-8.0,1.87,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,5,8601_20260818_01,2026-08-18,1771.0,2.0,0,0.0,5.0,0.0,0.0,NEW,WATCH
2026-08-18,横浜ゴム,5101,5101.T,7647.0,113.2,B,買い候補,8.5,14.7,1.1,14.3,291.0,5.1,34.5,51.5,-0.17,2.18,1.11,1.9,1.1,22.9,12.5,0.39,-3.43,1292320.0,7617.4,7211.1,6559.9,325.3,7113.0,7418.0,7800.0,7035.0,8794.0,7159.0,7077.4,15.0,-8.0,1.87,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,6,5101_20260818_01,2026-08-18,7647.0,2.0,0,0.0,6.0,0.0,0.0,ACCELERATION,ENTRY
2026-08-18,LINEヤフー,4689,4689.T,497.9,112.4,B,買い候補,17.9,23.2,1.1,8.3,224.0,13.1,24.1,66.8,1.22,1.97,11.29,-0.86,11.3,18.2,27.8,7.49,-1.66,18608020.0,463.2,433.4,414.8,14.24,429.9,483.0,508.0,458.0,573.0,476.5,427.8,15.1,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,7,4689_20260818_01,2026-08-18,497.9,2.0,0,0.0,7.0,0.0,0.0,NEW,WATCH
2026-08-18,DIC,4631,4631.T,5495.0,111.2,B,買い候補,9.2,16.8,1.0,12.3,287.0,18.9,157.3,67.6,-1.29,2.18,23.84,-3.79,23.8,25.0,27.6,15.52,-3.17,746575.0,4756.7,4641.8,4067.1,195.29,4266.0,5330.0,5605.0,5055.0,6319.0,5202.1,4244.7,15.0,-8.0,1.87,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、下落浅い,8,4631_20260818_01,2026-08-18,5495.0,2.0,0,0.0,8.0,0.0,0.0,MATURE,SKIP
2026-08-18,みずほフィナンシャルグループ,8411,8411.T,8531.0,111.2,B,買い候補,17.0,25.3,1.8,12.5,176.0,35.0,49.7,54.8,0.01,3.48,7.58,1.59,7.6,22.2,9.7,1.6,-2.78,10104825.0,8396.8,7795.6,6739.3,265.98,7761.0,8275.0,8702.0,7849.0,9811.0,8132.0,7722.2,15.0,-8.0,1.88,,該当,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,9,8411_20260818_01,2026-08-18,8531.0,2.0,0,0.0,9.0,0.0,0.0,ACCELERATION,ENTRY
2026-08-18,三菱UFJフィナンシャル・グループ,8306,8306.T,3654.0,110.9,B,買い候補,17.2,24.1,1.8,9.5,263.0,28.8,50.9,56.5,0.14,4.1,5.21,2.8,5.2,20.6,20.7,1.02,-3.82,43364700.0,3617.0,3293.5,2866.9,97.56,3426.0,3544.0,3727.0,3362.0,4202.0,3507.7,3408.9,15.0,-8.0,1.88,,該当,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,10,8306_20260818_01,2026-08-18,3654.0,2.0,0,0.0,10.0,0.0,0.0,ACCELERATION,ENTRY
