市場日付,銘柄名,コード,Ticker,株価,総合点,ランク,判定,PER,予想PER,PBR,ROE%,配当利回り%,売上成長率%,利益成長率%,RSI,前日比%,5日%,20日%,MomentumAcceleration%,1か月%,3か月%,6か月%,25日乖離%,60日高値乖離%,20日平均出来高,MA25,MA75,MA200,ATR14,20日安値,買いゾーン下限,買いゾーン上限,損切り目安,利確目安,ATR損切り,Swing損切り,期待利益%,想定損失%,RR比,半導体AI関連,高配当候補,理由,Ver6順位,signal_id,signal_start_date,signal_start_price,SignalAge,days_outside_gate,FirstSignalReturn%,前回Ver6順位,RankVelocity,ScoreVelocity,Phase,Action
2026-08-19,野村ホールディングス,8604,8604.T,1509.5,112.7,B,買い候補,11.3,16.6,1.2,11.2,328.0,31.2,42.0,45.3,-2.86,-3.61,-4.85,-2.39,-4.9,17.0,6.7,-3.41,-7.16,10375785.0,1562.8,1428.2,1321.5,39.94,1455.5,1464.0,1540.0,1389.0,1736.0,1449.6,1448.2,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,1,8604_20260818_01,2026-08-18,1554.0,4.0,0,-2.8635778635778597,3.0,2.0,-2.5999999999999943,MATURE,SKIP
2026-08-19,三井住友トラストグループ,8309,8309.T,1688.5,109.9,C,買い候補,12.8,4.5,1.3,10.8,,27.3,59.8,53.1,-2.62,-0.97,0.3,-1.04,0.3,18.4,20.1,0.03,-3.68,10386710.0,1688.0,1542.9,1334.2,41.75,1573.5,1638.0,1722.0,1553.0,1942.0,1625.9,1565.6,15.0,-8.0,1.87,,該当,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、売上成長、利益成長、値動き安定、下落浅い,2,8309_20260818_01,2026-08-18,1734.0,4.0,0,-2.623990772779705,1.0,-1.0,-9.699999999999989,MATURE,SKIP
2026-08-19,MS&ADインシュアランスグループホールディングス,8725,8725.T,4860.0,109.0,C,買い候補,14.2,11.8,1.1,16.1,281.0,1.6,49.8,54.8,-2.51,0.1,2.53,-0.53,2.5,11.7,18.3,0.73,-3.76,4392240.0,4824.7,4523.0,4054.6,119.57,4702.0,4714.0,4957.0,4471.0,5589.0,4680.7,4678.5,15.0,-8.0,1.87,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,3,8725_20260818_01,2026-08-18,4985.0,4.0,0,-2.507522567703113,12.0,9.0,-1.2999999999999972,HOLD,HOLD
2026-08-19,千葉銀行,8331,8331.T,2723.5,108.8,C,買い候補,18.6,24.7,1.5,8.3,235.0,51.8,40.2,52.1,-4.02,-0.86,2.43,-1.46,2.4,15.5,15.3,0.43,-4.22,2468525.0,2711.9,2515.9,2138.4,82.43,2504.0,2642.0,2778.0,2506.0,3132.0,2599.9,2491.5,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,4,8331_20260818_01,2026-08-18,2837.5,3.0,0,-4.01762114537445,11.0,7.0,-1.6000000000000085,MATURE,SKIP
2026-08-19,キリンホールディングス,2503,2503.T,2998.5,108.6,C,買い候補,12.3,17.4,1.8,15.1,253.0,9.2,164.9,53.9,-0.05,-2.27,2.64,-2.92,2.6,9.7,17.3,1.3,-4.29,4118505.0,2960.2,2772.2,2544.5,85.0,2805.5,2909.0,3058.0,2759.0,3448.0,2871.0,2791.5,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,5,2503_20260818_01,2026-08-18,3000.0,4.0,0,-0.04999999999999449,13.0,8.0,-1.6000000000000085,MATURE,SKIP
2026-08-19,DIC,4631,4631.T,5218.0,108.3,C,買い候補,8.8,15.9,1.0,12.3,291.0,18.9,157.3,57.8,-5.04,-7.33,15.96,-11.32,16.0,14.4,24.5,9.06,-8.05,754260.0,4784.6,4664.2,4075.9,201.12,4266.0,5061.0,5322.0,4801.0,6001.0,4916.3,4244.7,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、下落浅い,6,4631_20260818_01,2026-08-18,5495.0,4.0,0,-5.040946314831663,8.0,2.0,-2.9000000000000057,MATURE,SKIP
2026-08-19,出光興産,5019,5019.T,1337.0,108.0,C,買い候補,9.5,10.2,1.0,22.5,269.0,23.3,4095.7,57.0,-2.44,3.08,3.44,2.22,3.4,-0.7,-2.3,3.04,-5.01,3808410.0,1297.5,1305.5,1297.6,35.72,1228.0,1297.0,1364.0,1230.0,1538.0,1283.4,1221.9,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,7,5019_20260818_01,2026-08-18,1370.5,4.0,0,-2.4443633710324653,16.0,9.0,0.0,ACCELERATION,ENTRY
2026-08-19,ニチレイ,2871,2871.T,2152.0,107.6,C,買い候補,19.7,9.1,1.9,10.3,233.0,34.1,22.5,48.9,0.49,-0.92,0.84,-1.13,0.8,15.4,5.8,-0.62,-8.58,1655815.0,2165.3,2050.2,1960.2,70.44,2050.0,2087.0,2195.0,1980.0,2475.0,2046.3,2039.8,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,8,2871_20260818_01,2026-08-18,2141.5,4.0,0,0.4903105300023247,19.0,11.0,1.3999999999999915,MATURE,SKIP
2026-08-19,ブリヂストン,5108,5108.T,4011.0,107.3,C,買い候補,20.3,7.2,1.3,11.3,324.0,14.2,210.1,55.0,-1.55,-5.15,6.17,-6.7,6.2,22.7,6.9,1.76,-7.15,5085085.0,3941.6,3560.0,3474.7,104.56,3675.0,3891.0,4091.0,3690.0,4613.0,3854.2,3656.6,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,9,5108_20260818_01,2026-08-18,4074.0,3.0,0,-1.546391752577314,14.0,5.0,-1.2000000000000028,MATURE,SKIP
2026-08-19,三菱UFJフィナンシャル・グループ,8306,8306.T,3495.0,107.2,C,買い候補,16.5,23.0,1.7,9.5,263.0,28.8,50.9,46.1,-4.35,-3.08,-2.37,-2.48,-2.4,14.0,18.6,-3.32,-8.0,43451930.0,3615.2,3301.8,2873.2,102.3,3426.0,3390.0,3565.0,3215.0,4019.0,3341.5,3408.9,15.0,-8.0,1.87,,該当,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,10,8306_20260818_01,2026-08-18,3654.0,4.0,0,-4.351395730706075,10.0,0.0,-3.700000000000003,MATURE,SKIP
2026-08-19,LINEヤフー,4689,4689.T,494.2,106.0,C,買い候補,17.7,23.1,1.1,8.3,,13.1,24.1,64.3,-0.74,-1.1,10.02,-3.61,10.0,20.0,30.0,6.24,-2.39,18724305.0,465.2,434.4,415.0,14.15,429.9,479.0,504.0,455.0,568.0,473.0,427.8,14.9,-7.9,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、売上成長、利益成長、値動き安定、下落浅い,11,4689_20260818_01,2026-08-18,497.9,3.0,0,-0.7431211086563527,7.0,-4.0,-6.400000000000006,MATURE,SKIP
2026-08-19,みずほフィナンシャルグループ,8411,8411.T,8108.0,105.8,C,買い候補,16.1,24.1,1.7,12.5,176.0,35.0,49.7,45.5,-4.96,-4.63,-2.34,-4.05,-2.3,11.1,6.8,-3.3,-7.6,10183150.0,8384.4,7811.2,6755.6,278.69,7761.0,7865.0,8270.0,7459.0,9324.0,7690.0,7722.2,15.0,-8.0,1.87,,該当,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,12,8411_20260818_01,2026-08-18,8531.0,4.0,0,-4.958387058961433,9.0,-3.0,-5.400000000000006,MATURE,SKIP
2026-08-19,日産化学,4021,4021.T,7762.0,105.8,C,買い候補,21.1,24.1,4.1,21.8,263.0,12.8,23.0,48.4,-3.69,-2.03,-1.92,-1.55,-1.9,9.0,21.9,0.15,-10.23,742740.0,7750.2,7688.9,6449.3,250.37,7210.0,7529.0,7917.0,7141.0,8926.0,7386.4,7173.9,15.0,-8.0,1.87,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,13,4021_20260818_01,2026-08-18,8059.0,4.0,0,-3.685320759399424,15.0,2.0,-2.4000000000000057,MATURE,SKIP
2026-08-19,アステラス製薬,4503,4503.T,2337.0,104.3,C,監視候補,14.4,30.8,2.2,21.3,342.0,26.7,107.2,59.5,1.15,-0.81,6.4,-2.41,6.4,2.6,-5.5,4.39,-1.1,6693465.0,2238.7,2212.3,2205.4,62.33,2125.0,2267.0,2384.0,2150.0,2688.0,2243.5,2114.4,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,14,,,,,0,,22.0,8.0,1.0,,SKIP
2026-08-19,テルモ,4543,4543.T,2472.0,103.9,C,監視候補,26.9,24.3,2.2,10.9,140.0,19.9,68.3,55.1,-4.11,-4.87,10.33,-7.45,10.3,6.0,23.8,4.65,-7.5,5077125.0,2362.1,2263.7,2225.8,89.29,2133.0,2398.0,2521.0,2274.0,2843.0,2338.1,2122.3,15.0,-8.0,1.87,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,15,,,,,0,,32.0,17.0,2.4000000000000057,,SKIP
2026-08-19,キッコーマン,2801,2801.T,1794.0,103.2,C,監視候補,27.2,27.9,2.9,12.1,139.0,15.0,26.4,63.1,1.36,1.44,10.37,-1.15,10.4,27.4,21.6,6.22,0.0,4221595.0,1688.9,1571.5,1467.2,55.97,1555.0,1740.0,1830.0,1650.0,2063.0,1710.0,1547.2,15.0,-8.0,1.87,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、ROE良好、配当あり、売上成長、利益成長、下落浅い,16,,,,,0,,26.0,10.0,0.7000000000000028,,SKIP
2026-08-19,日本たばこ産業（JT）,2914,2914.T,6914.0,103.1,C,監視候補,20.6,23.0,2.8,14.0,392.0,17.0,44.6,57.6,-0.26,-1.59,7.61,-3.5,7.6,13.5,16.2,2.71,-3.1,4764405.0,6731.3,6240.9,5833.6,159.5,6325.0,6707.0,7052.0,6361.0,7951.0,6674.8,6293.4,15.0,-8.0,1.88,,該当,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,17,,,,,0,,28.0,11.0,1.0999999999999943,,SKIP
2026-08-19,コナミグループ,9766,9766.T,21680.0,103.1,C,監視候補,26.1,36.0,5.1,21.2,104.0,33.6,64.2,61.3,0.65,0.09,17.19,-4.2,17.2,11.2,19.4,7.22,-4.51,658920.0,20219.8,19367.3,20426.7,815.4,17830.0,21030.0,22114.0,19946.0,24932.0,20456.9,17740.8,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、ROE良好、配当あり、売上成長、利益成長、下落浅い,18,,,,,0,,43.0,25.0,4.5,,SKIP
2026-08-19,シチズン時計,7762,7762.T,2545.0,103.0,C,監視候補,20.0,31.5,2.1,10.9,204.0,30.3,-2.9,56.0,-2.12,-1.93,13.72,-5.36,13.7,20.1,51.5,7.96,-9.14,1998205.0,2357.4,2282.5,1766.2,129.08,1975.0,2469.0,2596.0,2341.0,2927.0,2351.4,1965.1,15.0,-8.0,1.87,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、下落浅い,19,,,,,0,,60.0,41.0,8.200000000000003,,SKIP
