市場日付,銘柄名,コード,Ticker,株価,総合点,ランク,判定,PER,予想PER,PBR,ROE%,配当利回り%,売上成長率%,利益成長率%,RSI,前日比%,5日%,20日%,MomentumAcceleration%,1か月%,3か月%,6か月%,25日乖離%,60日高値乖離%,20日平均出来高,MA25,MA75,MA200,ATR14,20日安値,買いゾーン下限,買いゾーン上限,損切り目安,利確目安,ATR損切り,Swing損切り,期待利益%,想定損失%,RR比,半導体AI関連,高配当候補,理由,Ver6順位,signal_id,signal_start_date,signal_start_price,SignalAge,days_outside_gate,FirstSignalReturn%,前回Ver6順位,RankVelocity,ScoreVelocity,Phase,Action
2026-08-21,三井住友トラストグループ,8309,8309.T,1715.5,121.0,A,強気買い,13.0,4.6,1.3,10.8,277.0,27.3,59.8,57.5,1.48,-1.24,0.25,-1.3,0.2,21.2,27.1,1.5,-2.14,9975425.0,1690.2,1553.2,1341.1,40.0,1573.5,1664.0,1750.0,1578.0,1973.0,1655.5,1565.6,15.0,-8.0,1.87,,該当,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,1,8309_20260818_01,2026-08-18,1734.0,6.0,0,-1.0668973471741672,1.0,0.0,0.7999999999999972,MATURE,SKIP
2026-08-21,大和証券グループ本社,8601,8601.T,1779.0,116.1,B,買い候補,14.3,18.1,1.4,11.0,393.0,57.2,82.6,50.2,1.25,-1.22,-4.74,-0.04,-4.7,19.0,13.8,-1.8,-5.32,4551630.0,1811.7,1657.0,1508.1,42.56,1719.0,1726.0,1815.0,1637.0,2046.0,1715.2,1710.4,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,2,8601_20260818_01,2026-08-18,1771.0,5.0,0,0.45172219085263254,4.0,2.0,1.2999999999999972,MATURE,SKIP
2026-08-21,野村ホールディングス,8604,8604.T,1535.0,115.0,B,買い候補,11.5,16.9,1.2,11.2,332.0,31.2,42.0,49.6,0.92,-2.23,-5.51,-0.85,-5.5,20.6,9.1,-1.47,-5.6,10234685.0,1557.8,1436.0,1326.4,39.18,1455.5,1489.0,1566.0,1412.0,1765.0,1476.2,1448.2,15.0,-8.0,1.87,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,3,8604_20260818_01,2026-08-18,1554.0,6.0,0,-1.2226512226512276,5.0,2.0,1.0,MATURE,SKIP
2026-08-21,MS&ADインシュアランスグループホールディングス,8725,8725.T,4945.0,114.3,B,買い候補,9.4,12.0,1.1,16.1,283.0,2.4,49.8,58.3,3.6,2.25,1.48,1.88,1.5,17.3,20.0,1.96,-2.08,4307710.0,4850.0,4545.5,4071.1,125.96,4702.0,4797.0,5044.0,4549.0,5687.0,4756.1,4678.5,15.0,-8.0,1.87,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,4,8725_20260818_01,2026-08-18,4985.0,6.0,0,-0.8024072216649913,11.0,7.0,5.799999999999997,ACCELERATION,ENTRY
2026-08-21,千葉銀行,8331,8331.T,2753.5,112.4,B,買い候補,18.8,25.0,1.5,8.3,232.0,51.8,40.2,54.6,1.62,-2.65,0.16,-2.69,0.2,17.3,23.3,1.69,-3.17,2430120.0,2707.7,2531.1,2151.1,80.69,2504.0,2671.0,2809.0,2533.0,3167.0,2632.5,2491.5,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,5,8331_20260818_01,2026-08-18,2837.5,5.0,0,-2.9603524229074862,7.0,2.0,2.8000000000000114,MATURE,SKIP
2026-08-21,スズキ,7269,7269.T,2103.5,112.0,B,買い候補,9.2,11.9,1.1,15.3,247.0,22.0,80.0,57.0,0.79,0.81,2.91,0.09,2.9,10.1,-7.7,3.2,-2.32,8137795.0,2038.3,1955.5,2072.7,66.03,1806.0,2040.0,2146.0,1935.0,2419.0,2004.5,1797.0,15.0,-8.0,1.87,,,200日線上、75日線上、RSI適正、3か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,6,7269_20260818_01,2026-08-18,2081.0,5.0,0,1.0812109562710281,2.0,-4.0,-3.299999999999997,ACCELERATION,ENTRY
2026-08-21,キリンホールディングス,2503,2503.T,3038.0,111.3,B,買い候補,12.5,17.7,1.8,15.1,250.0,9.2,164.9,56.6,0.2,-2.25,4.98,-3.5,5.0,13.7,19.4,2.15,-3.03,4175190.0,2974.0,2787.6,2553.2,79.57,2805.5,2947.0,3099.0,2795.0,3494.0,2918.6,2791.5,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,7,2503_20260818_01,2026-08-18,3000.0,6.0,0,1.2666666666666604,8.0,1.0,2.0,MATURE,SKIP
2026-08-21,みずほフィナンシャルグループ,8411,8411.T,8110.0,111.2,B,買い候補,14.5,24.1,1.7,12.5,185.0,35.0,49.7,45.7,0.31,-5.92,-7.48,-4.05,-7.5,11.0,17.2,-2.85,-7.58,9669630.0,8348.1,7848.1,6788.3,265.67,7761.0,7867.0,8272.0,7461.0,9326.0,7711.5,7722.2,15.0,-8.0,1.87,,該当,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,8,8411_20260818_01,2026-08-18,8531.0,6.0,0,-4.934943148517168,12.0,4.0,2.9000000000000057,MATURE,SKIP
2026-08-21,ブリヂストン,5108,5108.T,4117.0,110.6,B,買い候補,20.9,7.4,1.4,11.3,316.0,14.2,210.1,60.3,0.68,-0.39,9.87,-2.86,9.9,25.1,16.9,3.53,-4.7,4971585.0,3976.8,3584.3,3483.0,101.48,3675.0,3993.0,4199.0,3788.0,4735.0,3964.8,3656.6,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,9,5108_20260818_01,2026-08-18,4074.0,5.0,0,1.0554737358861033,6.0,-3.0,0.09999999999999432,MATURE,SKIP
2026-08-21,出光興産,5019,5019.T,1383.5,110.3,B,買い候補,9.9,10.5,1.0,22.5,260.0,23.3,4095.7,63.4,2.52,5.89,4.42,4.79,4.4,5.4,1.8,6.03,-1.71,3912295.0,1304.8,1305.7,1300.8,35.9,1228.0,1342.0,1411.0,1273.0,1591.0,1329.7,1221.9,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,10,5019_20260818_01,2026-08-18,1370.5,6.0,0,0.9485589201021494,10.0,0.0,1.5999999999999943,HOLD,HOLD
2026-08-21,横浜ゴム,5101,5101.T,7494.0,110.3,B,買い候補,8.3,14.4,1.1,14.3,298.0,10.4,114.4,48.4,-0.9,-4.54,-3.63,-3.63,-3.6,7.9,13.0,-1.4,-5.37,1302210.0,7600.4,7259.5,6589.8,317.26,7113.0,7269.0,7644.0,6894.0,8618.0,7018.1,7077.4,15.0,-8.0,1.87,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,11,5101_20260818_01,2026-08-18,7647.0,5.0,0,-2.0007846214201597,3.0,-8.0,-4.900000000000006,MATURE,SKIP
2026-08-21,DIC,4631,4631.T,5190.0,109.7,C,買い候補,8.7,15.8,1.0,12.3,308.0,18.9,157.3,56.6,-0.95,-5.05,14.22,-8.6,14.2,8.3,22.5,7.4,-8.55,770740.0,4832.6,4709.0,4093.1,190.85,4266.0,5034.0,5294.0,4775.0,5968.0,4903.7,4244.7,15.0,-8.0,1.87,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、下落浅い,12,4631_20260818_01,2026-08-18,5495.0,6.0,0,-5.550500454959051,13.0,1.0,1.4000000000000057,MATURE,SKIP
2026-08-21,三菱UFJフィナンシャル・グループ,8306,8306.T,3508.0,109.3,C,買い候補,16.5,23.1,1.7,9.5,274.0,28.8,50.9,47.4,1.27,-4.83,-6.45,-3.22,-6.5,14.4,24.3,-2.61,-7.66,41763530.0,3602.2,3319.9,2886.0,99.23,3415.0,3403.0,3578.0,3227.0,4034.0,3359.2,3397.9,15.0,-8.0,1.87,,該当,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,13,8306_20260818_01,2026-08-18,3654.0,5.0,0,-3.995621237000546,45.0,32.0,12.200000000000003,MATURE,SKIP
2026-08-21,テルモ,4543,4543.T,2569.0,108.0,C,買い候補,27.9,25.2,2.3,10.9,140.0,19.9,68.3,60.5,-0.29,-3.87,19.05,-8.63,19.0,10.0,32.9,7.42,-3.87,5270885.0,2391.5,2279.1,2226.3,89.78,2133.0,2492.0,2620.0,2363.0,2954.0,2434.3,2122.3,15.0,-8.0,1.87,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,14,4543_20260821_01,2026-08-21,2569.0,0.0,0,0.0,47.0,33.0,11.200000000000003,MATURE,SKIP
2026-08-21,ニチレイ,2871,2871.T,2187.0,107.6,C,買い候補,20.0,9.3,1.9,10.3,229.0,34.1,22.5,52.6,0.21,-0.07,2.92,-0.8,2.9,21.0,7.9,0.41,-7.09,1581465.0,2178.0,2058.1,1964.3,68.48,2050.0,2121.0,2231.0,2012.0,2515.0,2084.3,2039.8,15.0,-8.0,1.87,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,15,2871_20260818_01,2026-08-18,2141.5,6.0,0,2.1246789633434515,14.0,-1.0,0.29999999999999716,MATURE,SKIP
2026-08-21,日本たばこ産業（JT）,2914,2914.T,6980.0,106.6,C,買い候補,20.8,23.2,2.8,14.3,390.0,17.0,44.6,59.5,1.6,-2.13,9.59,-4.53,9.6,17.1,21.2,2.7,-2.17,4589245.0,6796.3,6272.4,5855.1,155.0,6362.0,6771.0,7120.0,6422.0,8027.0,6747.5,6330.2,15.0,-8.0,1.88,,該当,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,16,2914_20260821_01,2026-08-21,6980.0,0.0,0,0.0,20.0,4.0,2.5,MATURE,SKIP
2026-08-21,日産化学,4021,4021.T,7978.0,106.3,C,買い候補,21.6,24.7,4.2,21.8,266.0,12.8,23.0,52.8,-2.25,0.03,1.81,-0.43,1.8,9.3,22.8,2.91,-7.74,769240.0,7752.7,7723.8,6477.4,270.22,7210.0,7739.0,8138.0,7340.0,9175.0,7572.7,7173.9,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,17,4021_20260818_01,2026-08-18,8059.0,6.0,0,-1.0050874798362086,9.0,-8.0,-2.799999999999997,HOLD,HOLD
2026-08-21,DOWAホールディングス,5714,5714.T,10120.0,106.1,C,買い候補,9.6,20.9,1.3,18.5,334.0,58.2,268.9,68.3,3.38,6.8,18.47,2.18,18.5,-7.5,12.3,15.06,-3.89,647435.0,8795.7,9338.0,8540.8,385.71,7685.0,9816.0,10322.0,9310.0,11638.0,9541.4,7646.6,15.0,-8.0,1.87,,,200日線上、75日線上、RSI適正、6か月上昇、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,18,5714_20260821_01,2026-08-21,10120.0,0.0,0,0.0,18.0,0.0,1.5999999999999943,MATURE,SKIP
