市場日付,銘柄名,コード,Ticker,株価,総合点,ランク,判定,PER,予想PER,PBR,ROE%,配当利回り%,売上成長率%,利益成長率%,RSI,前日比%,5日%,20日%,MomentumAcceleration%,1か月%,3か月%,6か月%,25日乖離%,60日高値乖離%,20日平均出来高,MA25,MA75,MA200,ATR14,20日安値,買いゾーン下限,買いゾーン上限,損切り目安,利確目安,ATR損切り,Swing損切り,期待利益%,想定損失%,RR比,半導体AI関連,高配当候補,理由,Ver6順位,signal_id,signal_start_date,signal_start_price,SignalAge,days_outside_gate,FirstSignalReturn%,前回Ver6順位,RankVelocity,ScoreVelocity,Phase,Action
2026-08-24,三井住友トラストグループ,8309,8309.T,1702.0,120.4,A,強気買い,12.9,4.6,1.3,10.8,277.0,27.3,59.8,54.7,-0.79,-1.53,-0.06,-1.52,-0.1,20.3,25.2,0.64,-2.91,9830655.0,1691.2,1557.4,1344.5,39.82,1573.5,1651.0,1736.0,1566.0,1957.0,1642.3,1565.6,15.0,-8.0,1.88,,該当,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,1,8309_20260818_01,2026-08-18,1734.0,7.0,0,-1.8454440599769306,1.0,0.0,-0.5999999999999943,MATURE,SKIP
2026-08-24,大和証券グループ本社,8601,8601.T,1786.5,116.8,B,買い候補,14.4,18.2,1.4,11.0,393.0,57.2,82.6,51.4,0.42,0.45,-3.8,1.4,-3.8,20.5,14.3,-1.19,-4.92,4562870.0,1808.1,1660.6,1511.3,41.09,1719.0,1733.0,1822.0,1644.0,2054.0,1724.9,1710.4,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,2,8601_20260818_01,2026-08-18,1771.0,6.0,0,0.8752117447769603,2.0,0.0,0.7000000000000028,MATURE,SKIP
2026-08-24,野村ホールディングス,8604,8604.T,1539.0,114.6,B,買い候補,11.5,16.9,1.2,11.2,332.0,31.2,42.0,50.3,0.26,-1.28,-3.81,-0.33,-3.8,21.3,7.9,-1.03,-5.35,10045285.0,1555.0,1439.8,1328.8,38.17,1455.5,1493.0,1570.0,1416.0,1770.0,1481.7,1448.2,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,3,8604_20260818_01,2026-08-18,1554.0,7.0,0,-0.9652509652509633,3.0,0.0,-0.4000000000000057,MATURE,SKIP
2026-08-24,MS&ADインシュアランスグループホールディングス,8725,8725.T,4927.0,113.0,B,買い候補,9.3,12.0,1.1,16.1,284.0,2.4,49.8,57.2,-0.36,0.04,0.59,-0.11,0.6,17.3,16.0,1.28,-2.44,4223320.0,4864.9,4557.8,4079.6,123.17,4702.0,4779.0,5026.0,4533.0,5666.0,4742.2,4678.5,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,4,8725_20260818_01,2026-08-18,4985.0,7.0,0,-1.1634904714142413,4.0,0.0,-1.2999999999999972,HOLD,HOLD
2026-08-24,スズキ,7269,7269.T,2126.5,112.3,B,買い候補,9.3,12.1,1.2,15.3,247.0,22.0,80.0,58.9,1.09,1.62,8.03,-0.38,8.0,10.7,-7.6,4.18,-1.25,7997095.0,2041.2,1960.0,2071.9,65.42,1806.0,2063.0,2169.0,1956.0,2445.0,2028.4,1797.0,15.0,-8.0,1.87,,,200日線上、75日線上、RSI適正、3か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,5,7269_20260818_01,2026-08-18,2081.0,6.0,0,2.186448822681397,6.0,1.0,0.29999999999999716,HOLD,HOLD
2026-08-24,横浜ゴム,5101,5101.T,7727.0,111.6,B,買い候補,8.5,14.8,1.1,14.3,298.0,10.4,114.4,53.5,3.11,0.87,5.2,-0.43,5.2,8.8,15.5,1.65,-2.42,1288300.0,7601.4,7278.2,6600.6,316.74,7113.0,7495.0,7882.0,7109.0,8886.0,7251.9,7077.4,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,6,5101_20260818_01,2026-08-18,7647.0,6.0,0,1.0461618935530215,11.0,5.0,1.2999999999999972,HOLD,HOLD
2026-08-24,キリンホールディングス,2503,2503.T,3053.0,111.3,B,買い候補,12.5,17.8,1.8,15.1,250.0,9.2,164.9,57.7,0.49,1.77,4.99,0.52,5.0,12.4,21.3,2.38,-2.55,4169625.0,2981.9,2794.8,2557.7,77.24,2805.5,2961.0,3114.0,2809.0,3511.0,2937.1,2791.5,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,7,2503_20260818_01,2026-08-18,3000.0,7.0,0,1.766666666666672,7.0,0.0,0.0,HOLD,HOLD
2026-08-24,みずほフィナンシャルグループ,8411,8411.T,8108.0,110.6,B,買い候補,14.5,24.1,1.7,12.5,185.0,35.0,49.7,45.7,-0.02,-4.95,-6.29,-3.38,-6.3,10.2,16.6,-2.72,-7.6,9474695.0,8334.8,7863.9,6804.3,258.2,7761.0,7865.0,8270.0,7459.0,9324.0,7720.7,7722.2,15.0,-8.0,1.87,,該当,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,8,8411_20260818_01,2026-08-18,8531.0,7.0,0,-4.958387058961433,8.0,0.0,-0.6000000000000085,MATURE,SKIP
2026-08-24,千葉銀行,8331,8331.T,2730.0,110.4,B,買い候補,18.7,24.7,1.5,8.3,232.0,51.8,40.2,52.3,-0.85,-3.99,-0.93,-3.76,-0.9,16.0,19.1,0.77,-3.99,2400045.0,2709.1,2537.8,2157.3,80.47,2504.0,2648.0,2785.0,2512.0,3139.0,2609.3,2491.5,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,9,8331_20260818_01,2026-08-18,2837.5,6.0,0,-3.7885462555066085,5.0,-4.0,-2.0,MATURE,SKIP
2026-08-24,ニチレイ,2871,2871.T,2169.5,110.3,B,買い候補,19.9,9.2,1.9,10.3,229.0,34.1,22.5,50.5,-0.8,0.49,0.91,0.26,0.9,22.4,7.0,-0.65,-7.84,1548420.0,2183.7,2062.1,1966.3,66.06,2050.0,2104.0,2213.0,1996.0,2495.0,2070.4,2039.8,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,10,2871_20260818_01,2026-08-18,2141.5,7.0,0,1.3074947466728881,15.0,5.0,2.700000000000003,RE-ENTRY,WATCH
