市場日付,銘柄名,コード,Ticker,株価,総合点,ランク,判定,PER,予想PER,PBR,ROE%,配当利回り%,売上成長率%,利益成長率%,RSI,前日比%,5日%,20日%,MomentumAcceleration%,1か月%,3か月%,6か月%,25日乖離%,60日高値乖離%,20日平均出来高,MA25,MA75,MA200,ATR14,20日安値,買いゾーン下限,買いゾーン上限,損切り目安,利確目安,ATR損切り,Swing損切り,期待利益%,想定損失%,RR比,半導体AI関連,高配当候補,理由,Ver6順位,signal_id,signal_start_date,signal_start_price,SignalAge,days_outside_gate,FirstSignalReturn%,前回Ver6順位,RankVelocity,ScoreVelocity,Phase,Action
2026-09-10,野村ホールディングス,8604,8604.T,1638.0,122.0,A,強気買い,12.3,18.0,1.2,11.2,309.0,31.2,42.0,57.6,1.36,0.37,3.57,-0.53,3.6,20.0,37.0,2.9,-1.86,8542945.0,1591.9,1503.5,1364.4,37.65,1497.0,1589.0,1671.0,1507.0,1884.0,1581.5,1489.5,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,1,8604_20260818_01,2026-08-18,1554.0,18.0,0,5.405405405405395,1.0,0.0,0.0,HOLD,HOLD
2026-09-10,三井住友トラストグループ,8309,8309.T,1734.0,120.2,A,強気買い,13.1,4.7,1.3,10.8,275.0,27.3,59.8,50.2,0.23,-2.97,-1.08,-2.69,-1.1,16.4,37.8,-0.3,-4.17,8205045.0,1739.2,1620.8,1391.4,39.24,1675.5,1682.0,1769.0,1595.0,1994.0,1675.1,1667.1,15.0,-8.0,1.87,,該当,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,2,8309_20260818_01,2026-08-18,1734.0,18.0,0,0.0,2.0,0.0,-1.2999999999999972,MATURE,SKIP
2026-09-10,大和証券グループ本社,8601,8601.T,1810.5,117.8,B,買い候補,14.6,18.4,1.4,11.0,390.0,57.2,82.6,49.4,0.75,-2.45,-0.41,-2.35,-0.4,15.4,24.4,-0.15,-3.65,4307325.0,1813.3,1722.3,1552.0,39.14,1719.0,1756.0,1847.0,1666.0,2082.0,1751.8,1710.4,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,3,8601_20260818_01,2026-08-18,1771.0,17.0,0,2.2303783173348357,3.0,0.0,-3.1000000000000085,MATURE,SKIP
2026-09-10,日本郵船,9101,9101.T,7217.0,115.0,B,買い候補,14.3,14.1,0.9,7.7,333.0,21.1,37.4,63.7,0.22,-0.97,16.2,-5.02,16.2,28.2,31.6,5.51,-2.74,3430910.0,6840.0,5961.2,5548.6,196.85,6234.0,7000.0,7361.0,6640.0,8300.0,6921.7,6202.8,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,4,9101_20260904_02,2026-09-04,7158.0,2.0,0,0.8242525845208126,6.0,2.0,0.0,MATURE,SKIP
2026-09-10,LINEヤフー,4689,4689.T,515.1,113.6,B,買い候補,18.5,24.0,1.2,8.3,213.0,13.1,24.1,50.7,-0.25,-3.52,3.12,-4.3,3.1,28.0,28.9,-0.98,-8.12,18621020.0,520.2,459.7,423.4,13.65,487.1,500.0,525.0,474.0,592.0,494.6,484.7,14.9,-8.0,1.87,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,5,4689_20260903_02,2026-09-03,533.9,4.0,0,-3.521258662670901,7.0,2.0,-0.4000000000000057,MATURE,SKIP
2026-09-10,アドバンテスト,6857,6857.T,33070.0,113.0,B,買い候補,64.1,139.1,23.0,56.9,18.0,39.3,95.3,48.8,0.7,2.45,-7.99,4.44,-8.0,21.0,37.5,-3.91,-12.47,8083280.0,34414.4,30936.3,26514.8,1782.07,31740.0,32078.0,33731.0,30424.0,38030.0,30396.9,31581.3,15.0,-8.0,1.87,該当,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,6,6857_20260903_02,2026-09-03,32300.0,5.0,0,2.3839009287925705,9.0,3.0,0.0,RE-ENTRY,WATCH
2026-09-10,千葉銀行,8331,8331.T,2705.0,111.6,B,買い候補,18.5,24.5,1.5,8.3,239.0,51.8,40.2,45.0,0.88,-4.89,-4.82,-3.68,-4.8,11.3,29.7,-2.52,-5.45,2173520.0,2774.9,2625.3,2242.2,73.51,2671.0,2624.0,2759.0,2489.0,3111.0,2594.7,2657.6,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,7,8331_20260818_01,2026-08-18,2837.5,17.0,0,-4.669603524229071,8.0,1.0,-1.9000000000000057,MATURE,SKIP
2026-09-10,三菱UFJフィナンシャル・グループ,8306,8306.T,3605.0,111.0,B,買い候補,15.2,23.8,1.8,9.5,263.0,28.8,50.9,49.0,0.11,-3.97,-2.8,-3.27,-2.8,14.0,35.0,-0.36,-5.11,34453650.0,3618.0,3446.1,2980.8,87.27,3415.0,3497.0,3677.0,3317.0,4146.0,3474.1,3397.9,15.0,-8.0,1.88,,該当,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,8,8306_20260818_01,2026-08-18,3654.0,17.0,0,-1.3409961685823757,12.0,4.0,-0.7999999999999972,MATURE,SKIP
2026-09-10,豊田通商,8015,8015.T,7340.0,110.7,B,買い候補,20.8,20.9,2.7,16.1,166.0,37.6,40.1,50.7,-2.35,-4.34,1.97,-4.83,2.0,18.9,15.8,-1.17,-4.76,1876430.0,7426.6,6700.7,6258.5,235.63,6929.0,7120.0,7487.0,6753.0,8441.0,6986.6,6894.4,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,9,8015_20260828_01,2026-08-28,7583.0,8.0,0,-3.2045364631412387,5.0,-4.0,-4.5,MATURE,SKIP
2026-09-10,MS&ADインシュアランスグループホールディングス,8725,8725.T,4944.0,110.6,B,買い候補,9.3,12.0,1.1,16.1,283.0,2.4,49.8,47.5,-0.06,-5.12,2.04,-5.63,2.0,7.5,23.3,-0.94,-5.65,3904855.0,4991.1,4697.4,4205.7,110.42,4755.0,4796.0,5043.0,4548.0,5686.0,4778.4,4731.2,15.0,-8.0,1.87,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,10,8725_20260818_01,2026-08-18,4985.0,18.0,0,-0.822467402206617,11.0,1.0,-1.4000000000000057,MATURE,SKIP
