市場日付,銘柄名,コード,Ticker,株価,総合点,ランク,判定,PER,予想PER,PBR,ROE%,配当利回り%,売上成長率%,利益成長率%,RSI,前日比%,5日%,20日%,MomentumAcceleration%,1か月%,3か月%,6か月%,25日乖離%,60日高値乖離%,20日平均出来高,MA25,MA75,MA200,ATR14,20日安値,買いゾーン下限,買いゾーン上限,損切り目安,利確目安,ATR損切り,Swing損切り,期待利益%,想定損失%,RR比,半導体AI関連,高配当候補,理由,Ver6順位,signal_id,signal_start_date,signal_start_price,SignalAge,days_outside_gate,FirstSignalReturn%,前回Ver6順位,RankVelocity,ScoreVelocity,Phase,Action
2026-09-04,三井住友トラストグループ,8309,8309.T,1801.0,122.0,A,強気買い,13.6,4.8,1.4,10.8,264.0,27.3,59.8,63.9,0.78,0.64,7.27,-1.17,7.3,24.5,47.7,4.59,-0.47,8961160.0,1722.0,1602.9,1377.8,42.29,1660.0,1747.0,1837.0,1657.0,2071.0,1737.6,1651.7,15.0,-8.0,1.88,,該当,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,1,8309_20260818_01,2026-08-18,1734.0,15.0,0,3.8638985005767124,89.0,88.0,52.0,HOLD,HOLD
2026-09-04,野村ホールディングス,8604,8604.T,1669.0,122.0,A,強気買い,12.5,18.4,1.3,11.2,306.0,31.2,42.0,65.3,2.27,1.64,5.83,0.19,5.8,22.8,39.6,6.07,0.0,8972835.0,1573.5,1484.3,1353.9,39.55,1497.0,1619.0,1702.0,1535.0,1919.0,1609.7,1489.5,15.0,-8.0,1.87,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,2,8604_20260818_01,2026-08-18,1554.0,15.0,0,7.400257400257404,92.0,90.0,52.0,ACCELERATION,ENTRY
2026-09-04,大和証券グループ本社,8601,8601.T,1867.0,120.0,A,強気買い,15.0,19.0,1.4,11.0,375.0,57.2,82.6,59.7,0.59,0.21,2.27,-0.35,2.3,21.6,29.9,3.22,-0.64,4530940.0,1808.8,1704.5,1540.7,41.84,1719.0,1811.0,1904.0,1718.0,2147.0,1804.2,1710.4,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,3,8601_20260818_01,2026-08-18,1771.0,14.0,0,5.420666290231502,103.0,100.0,53.099999999999994,HOLD,HOLD
2026-09-04,MS&ADインシュアランスグループホールディングス,8725,8725.T,5240.0,118.5,B,買い候補,9.9,12.7,1.1,16.1,267.0,2.4,49.8,67.5,0.56,2.46,8.56,0.32,8.6,19.0,32.8,5.71,0.0,4004930.0,4957.0,4656.0,4169.6,113.96,4733.0,5083.0,5345.0,4821.0,6026.0,5069.1,4709.3,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,4,8725_20260818_01,2026-08-18,4985.0,15.0,0,5.115346038114343,98.0,94.0,49.400000000000006,ACCELERATION,ENTRY
2026-09-04,第一生命ホールディングス,8750,8750.T,1877.5,116.3,B,買い候補,15.5,5.1,1.5,13.6,383.0,28.0,278.3,55.2,-0.32,1.87,-2.26,2.44,-2.3,12.6,32.0,1.32,-4.16,8731970.0,1853.1,1804.5,1535.2,44.03,1750.0,1821.0,1915.0,1727.0,2159.0,1811.5,1741.2,15.0,-8.0,1.87,,該当,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,5,8750_20260827_02,2026-08-27,1817.0,6.0,0,3.3296642817831623,111.0,106.0,50.89999999999999,MATURE,SKIP
2026-09-04,みずほフィナンシャルグループ,8411,8411.T,8774.0,116.0,B,買い候補,15.6,26.1,1.9,12.5,171.0,35.0,49.7,62.1,0.49,3.39,3.24,2.58,3.2,16.0,45.0,4.32,-0.01,8495440.0,8410.5,8062.2,6963.0,240.32,7966.0,8511.0,8949.0,8072.0,10090.0,8413.5,7926.2,15.0,-8.0,1.87,,該当,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,6,8411_20260818_01,2026-08-18,8531.0,15.0,0,2.8484351189778545,106.0,100.0,49.3,ACCELERATION,ENTRY
2026-09-04,日本郵船,9101,9101.T,7158.0,115.0,B,買い候補,14.2,14.0,0.9,7.7,335.0,21.1,37.4,67.5,-1.78,0.6,20.69,-4.57,20.7,26.8,35.3,7.9,-1.78,3479650.0,6633.6,5859.0,5499.7,201.8,5968.0,6943.0,7301.0,6585.0,8232.0,6855.3,5938.2,15.0,-8.0,1.87,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,7,9101_20260904_02,2026-09-04,7158.0,0.0,0,0.0,145.0,138.0,60.0,NEW,WATCH
2026-09-04,千葉銀行,8331,8331.T,2861.0,114.0,B,買い候補,19.6,25.9,1.5,8.3,224.0,51.8,40.2,60.1,0.6,1.65,7.35,-0.19,7.4,21.2,42.4,3.78,0.0,2294680.0,2756.7,2605.1,2217.6,75.89,2648.0,2775.0,2918.0,2632.0,3290.0,2747.2,2634.8,15.0,-8.0,1.87,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,8,8331_20260818_01,2026-08-18,2837.5,14.0,0,0.8281938325991112,96.0,88.0,44.599999999999994,HOLD,HOLD
2026-09-04,LINEヤフー,4689,4689.T,531.1,114.0,B,買い候補,19.1,24.8,1.2,8.3,207.0,13.1,24.1,59.5,-0.52,-4.13,13.0,-7.38,13.0,30.6,45.6,4.22,-5.26,20747060.0,509.6,453.6,421.5,14.62,471.7,515.0,542.0,489.0,611.0,509.2,469.3,15.0,-7.9,1.9,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,9,4689_20260903_02,2026-09-03,533.9,1.0,0,-0.5244427795467188,90.0,81.0,44.0,MATURE,SKIP
2026-09-04,三菱UFJフィナンシャル・グループ,8306,8306.T,3785.0,113.7,B,買い候補,16.0,25.0,1.9,9.5,254.0,28.8,50.9,64.5,0.83,3.47,5.9,2.0,5.9,19.5,45.9,5.11,-0.37,36462595.0,3601.0,3415.6,2955.1,91.27,3415.0,3671.0,3861.0,3482.0,4353.0,3648.1,3397.9,15.0,-8.0,1.87,,該当,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,10,8306_20260818_01,2026-08-18,3654.0,14.0,0,3.585112205801866,101.0,91.0,46.0,ACCELERATION,ENTRY
