市場日付,銘柄名,コード,Ticker,株価,総合点,ランク,判定,PER,予想PER,PBR,ROE%,配当利回り%,売上成長率%,利益成長率%,RSI,前日比%,5日%,20日%,MomentumAcceleration%,1か月%,3か月%,6か月%,25日乖離%,60日高値乖離%,20日平均出来高,MA25,MA75,MA200,ATR14,20日安値,買いゾーン下限,買いゾーン上限,損切り目安,利確目安,ATR損切り,Swing損切り,期待利益%,想定損失%,RR比,半導体AI関連,高配当候補,理由,Ver6順位,signal_id,signal_start_date,signal_start_price,SignalAge,days_outside_gate,FirstSignalReturn%,前回Ver6順位,RankVelocity,ScoreVelocity,Phase,Action
2026-09-17,三井住友トラストグループ,8309,8309.T,1793.0,121.1,A,強気買い,13.6,4.8,1.3,10.8,267.0,27.3,59.8,58.3,0.96,2.02,6.06,0.5,6.1,18.3,47.8,2.07,-0.91,8060400.0,1756.6,1647.7,1409.6,39.3,1684.5,1739.0,1829.0,1650.0,2062.0,1734.0,1676.1,15.0,-8.0,1.88,,該当,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,1,8309_20260818_01,2026-08-18,1734.0,23.0,0,3.4025374855824575,1.0,0.0,1.0,HOLD,HOLD
2026-09-17,野村ホールディングス,8604,8604.T,1620.5,119.5,B,買い候補,12.2,17.8,1.2,11.2,312.0,31.2,42.0,51.5,-0.86,-2.73,6.54,-4.37,6.5,15.1,39.2,0.71,-3.25,8655380.0,1609.1,1528.1,1378.8,39.23,1498.5,1572.0,1653.0,1491.0,1864.0,1561.7,1491.0,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,2,8604_20260818_01,2026-08-18,1554.0,23.0,0,4.279279279279269,2.0,0.0,0.09999999999999432,MATURE,SKIP
2026-09-17,大和証券グループ本社,8601,8601.T,1853.0,119.5,B,買い候補,14.9,18.8,1.4,11.0,382.0,57.2,82.6,54.7,1.2,0.87,5.46,-0.49,5.5,15.4,29.6,1.73,-1.38,4512585.0,1821.5,1746.7,1567.8,40.01,1742.5,1797.0,1890.0,1705.0,2131.0,1793.0,1733.8,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,3,8601_20260818_01,2026-08-18,1771.0,22.0,0,4.630152456239411,3.0,0.0,1.5,HOLD,HOLD
2026-09-17,松井証券,8628,8628.T,1187.0,118.7,B,買い候補,19.8,24.3,3.4,23.2,475.0,48.3,94.9,56.6,0.76,-0.67,8.9,-2.89,8.9,21.0,29.1,2.08,-2.3,985270.0,1162.8,1064.2,961.4,25.38,1089.0,1151.0,1211.0,1092.0,1365.0,1148.9,1083.6,15.0,-8.0,1.87,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,4,8628_20260917_01,2026-09-17,1187.0,0.0,0,0.0,36.0,32.0,17.700000000000003,MATURE,SKIP
2026-09-17,MS&ADインシュアランスグループホールディングス,8725,8725.T,5271.0,116.9,B,買い候補,10.0,12.8,1.1,16.1,272.0,2.4,49.8,62.6,2.25,6.18,10.43,3.58,10.4,15.8,33.4,4.19,0.0,3778390.0,5058.9,4757.6,4252.8,115.96,4766.0,5113.0,5376.0,4849.0,6062.0,5097.1,4742.2,15.0,-8.0,1.87,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,5,8725_20260818_01,2026-08-18,4985.0,23.0,0,5.737211634904704,4.0,-1.0,1.4000000000000057,HOLD,HOLD
2026-09-17,みずほフィナンシャルグループ,8411,8411.T,8745.0,113.5,B,買い候補,15.6,26.0,1.8,12.5,175.0,35.0,49.7,57.3,2.09,1.62,8.16,-0.43,8.2,10.9,44.3,2.8,-0.51,7860230.0,8507.1,8226.4,7121.6,235.55,8012.0,8483.0,8920.0,8045.0,10057.0,8391.7,7971.9,15.0,-8.0,1.87,,該当,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,6,8411_20260818_01,2026-08-18,8531.0,22.0,0,2.5084984175360425,10.0,4.0,3.0,HOLD,HOLD
2026-09-17,豊田通商,8015,8015.T,7527.0,112.1,B,買い候補,21.5,21.4,2.7,16.1,169.0,37.6,40.1,55.5,1.91,1.31,4.61,0.15,4.6,21.6,18.2,0.96,-2.34,1930875.0,7455.6,6751.5,6327.5,229.38,7092.0,7301.0,7678.0,6925.0,8656.0,7182.9,7056.5,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,7,8015_20260828_01,2026-08-28,7583.0,13.0,0,-0.7384939997362561,6.0,-1.0,0.0,HOLD,HOLD
2026-09-17,千葉銀行,8331,8331.T,2777.0,111.7,B,買い候補,19.0,25.2,1.5,8.3,234.0,51.8,40.2,52.2,1.74,1.8,2.49,1.17,2.5,11.5,39.8,-0.15,-2.94,2514445.0,2781.0,2655.4,2272.7,75.58,2641.0,2694.0,2833.0,2555.0,3194.0,2663.6,2627.8,15.0,-8.0,1.88,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,8,8331_20260818_01,2026-08-18,2837.5,22.0,0,-2.132158590308375,12.0,4.0,1.7999999999999972,ACCELERATION,ENTRY
2026-09-17,関西電力,9503,9503.T,3008.0,111.6,B,買い候補,8.8,9.2,0.9,12.5,273.0,9.8,38.2,68.3,2.61,1.72,17.61,-2.68,17.6,29.3,19.8,8.88,-0.59,4369300.0,2762.7,2478.7,2487.4,82.57,2524.5,2918.0,3068.0,2767.0,3459.0,2884.1,2511.9,15.0,-8.0,1.87,,,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,9,9503_20260911_02,2026-09-11,2957.0,3.0,0,1.7247210010145508,18.0,9.0,5.0,MATURE,SKIP
2026-09-17,第一生命ホールディングス,8750,8750.T,1940.0,111.5,B,買い候補,16.0,5.2,1.5,13.6,380.0,28.0,278.3,61.7,2.37,5.84,9.76,3.4,9.8,6.9,38.6,5.15,-0.97,7842835.0,1845.1,1831.3,1566.9,43.82,1753.0,1882.0,1979.0,1785.0,2231.0,1874.3,1744.2,15.0,-8.0,1.88,,該当,200日線上、75日線上、RSI適正、3か月上昇、6か月上昇、25日線付近、PER良好、PBR良好、ROE良好、配当あり、売上成長、利益成長、値動き安定、下落浅い,10,8750_20260911_03,2026-09-11,1833.0,4.0,0,5.8374249863611505,9.0,-1.0,1.0,ACCELERATION,ENTRY
