signal_date,code,name,strategy,entry_price,model_version,return_5d,mfe_5d,mae_5d,exit_date_5d,return_10d,mfe_10d,mae_10d,exit_date_10d
2026-08-31,4151,協和キリン,B_EARLY_CONFIRMED,2628.0,7.1-EARLY-RESEARCH-R2,-9.056316590563164,2.3211567732115634,-10.197869101978696,2026-09-07,,,,
2026-08-31,2432,ディー・エヌ・エー,B_EARLY_CONFIRMED,2571.5,7.1-EARLY-RESEARCH-R2,-0.3305463737118375,2.2360489986389176,-1.18607816449543,2026-09-07,,,,
2026-08-31,9021,西日本旅客鉄道,B_EARLY_CONFIRMED,3015.0,7.1-EARLY-RESEARCH-R2,-0.8291873963515717,1.127694859038142,-1.4593698175787706,2026-09-07,,,,
2026-08-31,8802,三菱地所,B_EARLY_CONFIRMED,3795.0,7.1-EARLY-RESEARCH-R2,-3.451910408432146,1.7127799736495364,-3.610013175230564,2026-09-07,,,,
2026-08-31,7202,いすゞ自動車,B_EARLY_CONFIRMED,2287.0,7.1-EARLY-RESEARCH-R2,-2.732837778749453,1.945780498469607,-3.1700918233493636,2026-09-07,,,,
2026-08-31,4183,三井化学,B_EARLY_CONFIRMED,2187.0,7.1-EARLY-RESEARCH-R2,2.0118884316415286,7.064471879286693,-1.1888431641518094,2026-09-07,,,,
2026-08-31,9532,大阪瓦斯,B_EARLY_CONFIRMED,5757.0,7.1-EARLY-RESEARCH-R2,0.1563314226159518,2.605523710265767,-0.7990272711481672,2026-09-07,,,,
2026-08-31,4324,電通グループ,B_EARLY_CONFIRMED,3704.0,7.1-EARLY-RESEARCH-R2,-1.9978401727861805,3.2937365010799136,-2.2138228941684712,2026-09-07,,,,
2026-08-31,1963,日揮ホールディングス,B_EARLY_CONFIRMED,2356.5,7.1-EARLY-RESEARCH-R2,1.485253553999577,2.9917250159134268,-1.8035221727137674,2026-09-07,,,,
2026-08-31,6702,富士通,B_EARLY_CONFIRMED,3869.0,7.1-EARLY-RESEARCH-R2,-0.9821659343499656,3.1532695787025,-2.481261307831484,2026-09-07,,,,
2026-08-31,8316,三井住友フィナンシャルグループ,B_EARLY_CONFIRMED,6975.0,7.1-EARLY-RESEARCH-R2,0.014336917562718376,2.95340501792114,-1.5770609318996431,2026-09-07,,,,
2026-08-31,1812,鹿島建設,A_EARLY,4838.0,7.1-EARLY-RESEARCH-R2,3.6792062835882655,4.154609342703597,0.16535758577924664,2026-09-07,,,,
2026-08-31,1803,清水建設,A_EARLY,2388.0,7.1-EARLY-RESEARCH-R2,1.2144053601339966,2.9941373534338345,-1.5075376884422065,2026-09-07,,,,
2026-08-31,9735,セコム,A_EARLY,6491.0,7.1-EARLY-RESEARCH-R2,-3.004159605607759,1.0630103219842812,-3.466338006470493,2026-09-07,,,,
