date,model_version,code,name,close,return_5d,return_20d,momentum_acceleration,ma25_distance,volume_ratio_20d,drawdown_252d_high,peak_age,higher_low,ma5_rising,volatility_contracting,long_adjustment,high_base,early_price_setup,confirm_setup,early_grade,margin_data_available,margin_buy_latest,margin_sell_latest,margin_buy_change_4obs_pct,margin_buy_change_13obs_pct,strategy,reason,margin_date
2026-08-25,7.1-EARLY-RESEARCH,1802,大林組,3011.0,-0.0332005312084993,-9.606724707295111,2.3684806456152785,-3.365363013742595,0.613364124552256,-32.16940752421716,120,False,False,True,True,False,False,False,E,False,,,,,NONE,長期調整後 / 勢い改善,
2026-08-25,7.1-EARLY-RESEARCH,4208,ＵＢＥ,3530.0,-3.7884982284001056,6.133493686109448,-5.321871649927468,4.166666666666652,0.5485733695652174,-4.928629140856455,8,False,False,True,False,False,False,False,E,False,,,,,NONE,,
2026-08-25,7.1-EARLY-RESEARCH,3401,帝人,1737.5,-0.6859102600743072,0.230747043553503,-0.743597020962683,1.3899911301993306,0.6086560159367034,-4.74232456140351,9,False,True,True,False,False,False,False,E,False,,,,,NONE,5日線上向き / 25日線付近,
2026-08-25,7.1-EARLY-RESEARCH-R2,5020,ＥＮＥＯＳホールディングス,1341.5,1.744406522563513,1.3600302228938377,1.4043989668400536,2.638062156661713,1.0083628821837158,-13.590982286634455,119,True,True,True,False,True,False,False,A,False,,,,,NONE,高値持ち合い後 / 安値切り上げ / 5日線上向き / 勢い改善 / 25日線付近,
2026-08-25,7.1-EARLY-RESEARCH,2802,味の素,5497.0,-0.6865401987353192,8.443479976326685,-2.7974101928169905,4.934218061589912,0.5233094567244732,-13.296529968454262,34,False,False,True,False,True,False,False,E,False,,,,,NONE,高値持ち合い後,
2026-08-25,7.1-EARLY-RESEARCH,5101,横浜ゴム,7467.0,-2.3538642604943094,-0.9418944016980624,-2.1183906600697937,-1.7189638833315812,0.7632760786633833,-9.93848751658425,9,False,False,False,False,False,False,False,E,False,,,,,NONE,25日線付近,
2026-08-25,7.1-EARLY-RESEARCH,6988,日東電工,3381.0,-2.396073903002305,-2.028397565922924,-1.888974511521574,-1.4607475110168022,0.4418454752308397,-16.887905604719766,201,False,False,True,True,False,False,False,E,False,,,,,NONE,長期調整後 / 25日線付近,
2026-08-25,7.1-EARLY-RESEARCH,4061,デンカ,3411.0,-2.431350114416475,-5.851504278222464,-0.9684740448608592,-3.237336601307184,0.5480248271853528,-27.30179028132992,45,False,False,True,False,False,False,False,E,False,,,,,NONE,,
2026-08-25,7.1-EARLY-RESEARCH,4042,東ソー,2635.0,-2.551775147928992,-7.348804500703232,-0.7145740227531838,-3.0907967517947443,0.7468813460980562,-14.614387556707708,48,False,False,True,False,True,False,False,E,False,,,,,NONE,高値持ち合い後,
2026-08-25,7.1-EARLY-RESEARCH,3407,旭化成,1633.5,-3.085137941263716,-12.76368491321762,0.1057832870406891,-5.240625580100233,0.6673363128349555,-14.296956977964326,34,False,False,True,False,True,False,False,E,False,,,,,NONE,高値持ち合い後 / 勢い改善,
2026-08-25,7.1-EARLY-RESEARCH,3405,クラレ,1789.0,-3.11399945843488,-4.992033988316513,-1.865990961355752,-3.3620708282016354,0.9641414315804012,-14.319923371647514,11,False,False,True,False,False,False,False,E,False,,,,,NONE,,
2026-08-25,7.1-EARLY-RESEARCH,1812,鹿島建設,4835.0,-1.1449601308525903,-14.50044208664898,2.4801503908096545,-6.4094523549588445,0.7146008853792277,-39.86318407960199,130,False,False,True,True,False,False,False,E,False,,,,,NONE,長期調整後 / 勢い改善,
2026-08-25,7.1-EARLY-RESEARCH,1803,清水建設,2384.5,-0.0838047349675297,-5.508222706558352,1.2932509416720583,-0.6731482175734937,0.51930062219823,-34.093421779988944,118,False,False,True,True,False,False,False,D,False,,,,,NONE,長期調整後 / 勢い改善 / 25日線付近,
2026-08-25,7.1-EARLY-RESEARCH,1605,ＩＮＰＥＸ,3878.0,-0.5641025641025643,6.188389923329685,-2.1112000449349857,5.3323482757871465,0.7448457654892404,-21.7356205852674,100,True,True,True,True,False,False,False,D,False,,,,,NONE,長期調整後 / 安値切り上げ / 5日線上向き,
2026-08-25,7.1-EARLY-RESEARCH,4519,中外製薬,6950.0,1.5043084562582187,1.4894859813084027,1.131936960931118,-0.7001000142877523,0.4896700237913881,-35.046728971962615,122,True,True,True,True,False,False,False,A,False,,,,,NONE,長期調整後 / 安値切り上げ / 5日線上向き / 勢い改善 / 25日線付近,
2026-08-25,7.1-EARLY-RESEARCH,4523,エーザイ,4861.0,1.715840133919233,2.272249105827906,1.1477778574622566,1.5874475448481196,0.4678899966905185,-9.123200598242663,232,True,True,True,False,True,False,False,A,False,,,,,NONE,高値持ち合い後 / 安値切り上げ / 5日線上向き / 勢い改善 / 25日線付近,
2026-08-25,7.1-EARLY-RESEARCH,2002,日清製粉グループ本社,2066.0,2.8372324539571947,-0.409737286093037,2.939666775480454,1.7383168365588286,0.838404927961145,-6.026836479417785,92,True,True,True,False,True,False,False,A,False,,,,,NONE,高値持ち合い後 / 安値切り上げ / 5日線上向き / 勢い改善 / 25日線付近,
