date,model_version,code,name,ticker,close,ver6_score,ver6_rank_number,ver6_rank_letter,ver6_signal,ver6_selected,quality_gate,rsi,return_1d,return_5d_past,return_20d_past,momentum_acceleration,ma25_distance,drawdown_60d_high,atr14,signal_id,signal_start_date,signal_start_price,signal_age,days_outside_gate,first_signal_return,previous_ver6_rank,rank_velocity,score_velocity,phase,action,ver7_entry,buy_zone_low,buy_zone_high,ver6_stop,ver6_take_profit,atr_stop,swing_stop
2026-08-19,7.0,8233,高島屋,8233.T,2270.0,84.5,84,E,対象外,False,False,47.6,0.2,-0.15,-10.15,2.38,-2.18,-12.76,68.36,,,,,0,,97.0,13.0,-0.2999999999999971,,SKIP,False,2202.0,2315.0,2088.0,2610.0,2167.5,2181.0
2026-08-19,7.0,6724,セイコーエプソン,6724.T,2987.0,92.0,58,D,監視候補,False,False,48.6,-2.48,-4.54,4.09,-5.56,-0.73,-8.51,97.65,,,,,0,,38.0,-20.0,-8.0,,SKIP,False,2897.0,3047.0,2748.0,3435.0,2840.5,2877.0
2026-08-19,7.0,8316,三井住友フィナンシャルグループ,8316.T,6568.0,91.8,59,D,監視候補,False,False,43.1,-4.81,-4.21,-5.51,-2.84,-4.46,-8.95,188.42,8316_20260818_01,,6900.0,3.0,1,-4.811594202898551,18.0,-41.0,-15.200000000000005,MATURE,SKIP,False,6371.0,6699.0,6043.0,7553.0,6285.4,6387.9
2026-08-19,7.0,6103,オークマ,6103.T,4950.0,91.3,60,D,監視候補,False,False,44.8,-7.13,-8.5,1.54,-8.89,-3.08,-11.29,212.97,,,,,0,,23.0,-37.0,-11.799999999999995,,SKIP,False,4802.0,5049.0,4554.0,5692.0,4630.5,4621.8
2026-08-19,7.0,7832,バンダイナムコホールディングス,7832.T,5359.0,91.0,61,D,監視候補,False,False,71.3,0.32,-0.06,27.99,-7.05,14.27,-1.4,192.34,,,,,0,,71.0,10.0,0.0,,SKIP,False,5198.0,5466.0,4930.0,6163.0,5070.5,4018.8
2026-08-19,7.0,7911,TOPPANホールディングス,7911.T,5090.0,90.9,62,D,監視候補,False,False,54.9,-2.13,3.5,7.61,1.59,6.16,-6.57,234.01,,,,,0,,83.0,21.0,3.1000000000000085,,SKIP,False,4937.0,5192.0,4683.0,5854.0,4739.0,4141.2
2026-08-19,7.0,3405,クラレ,3405.T,1815.0,90.6,63,D,監視候補,False,False,48.2,-1.71,-4.65,0.41,-4.75,-1.47,-7.14,52.41,,,,,0,,66.0,3.0,-1.8000000000000114,,SKIP,False,1761.0,1851.0,1670.0,2087.0,1736.4,1748.2
2026-08-19,7.0,5232,住友大阪セメント,5232.T,5532.0,90.2,64,D,監視候補,False,False,45.1,-5.6,-3.07,-3.42,-2.21,-2.28,-13.18,261.66,,,,,0,,65.0,1.0,-2.799999999999997,,SKIP,False,5366.0,5643.0,5089.0,6362.0,5139.5,5127.2
2026-08-19,7.0,9101,日本郵船,9101.T,6733.0,90.0,65,D,監視候補,False,False,75.0,-0.75,9.87,17.18,5.58,11.51,-0.75,170.54,,,,,0,,76.0,11.0,0.0,,SKIP,False,6531.0,6868.0,6194.0,7743.0,6477.2,5706.3
2026-08-19,7.0,7453,良品計画,7453.T,4241.0,75.2,107,E,対象外,False,False,50.6,-1.44,-5.65,-0.07,-5.63,-1.6,-6.3,148.44,,,,,0,,132.0,25.0,-0.2999999999999971,,SKIP,False,4114.0,4326.0,3902.0,4877.0,4018.3,4019.8
