signal_date,code,ticker,signal_id,model_version,ver6_selected,ver7_entry,entry_price,return_5d,mfe_5d,mae_5d,efficiency_5d,exit_date_5d,return_10d,mfe_10d,mae_10d,efficiency_10d,exit_date_10d
2026-08-18 00:00:00,8309,8309.T,8309_20260818_01,7.0,True,True,1734.0,0.0,0.1441753171856907,-3.3737024221453304,0.0427350427350406,2026-08-25,4.354094579008083,5.103806228373697,-3.3737024221453304,1.5128205128205106,2026-09-01
2026-08-18 00:00:00,7269,7269.T,7269_20260818_01,7.0,True,True,2081.0,1.8260451705910616,2.90725612686209,-3.2916866890917773,0.8832116788321196,2026-08-25,8.361364728495913,9.947140797693411,-3.2916866890917773,3.0218978102189813,2026-09-01
2026-08-18 00:00:00,8604,8604.T,8604_20260818_01,7.0,True,False,1554.0,1.1261261261261255,1.4157014157014205,-3.667953667953672,0.3859649122807026,2026-08-25,5.566280566280568,6.3063063063063085,-3.6679536679536717,1.719298245614034,2026-09-01
2026-08-18 00:00:00,8750,8750.T,8750_20260818_01,7.0,True,False,1841.5,,,,,,,,,,
2026-08-18 00:00:00,8601,8601.T,8601_20260818_01,7.0,True,False,1771.0,,,,,,,,,,
2026-08-18 00:00:00,5101,5101.T,5101_20260818_01,7.0,False,True,7647.0,-2.3538642604943094,1.47770367464366,-5.675428272525174,0.2603686635944716,2026-08-25,-2.7592519942461147,1.47770367464366,-5.675428272525174,0.2603686635944716,2026-09-01
2026-08-18 00:00:00,8411,8411.T,8411_20260818_01,7.0,False,True,8531.0,-3.786191536748329,-2.8484351189778434,-6.62290470050404,-0.4300884955752212,2026-08-25,1.9458445668737445,2.3678349548704736,-6.62290470050404,0.3575221238938057,2026-09-01
2026-08-18 00:00:00,8306,8306.T,8306_20260818_01,7.0,False,True,3654.0,-3.4209085933223915,-1.3957307060755375,-6.540777230432404,-0.2133891213389127,2026-08-25,1.258894362342633,2.025177887246854,-6.540777230432404,0.30962343096234324,2026-09-01
2026-08-18 00:00:00,8331,8331.T,8331_20260818_01,7.0,False,True,2837.5,,,,,,,,,,
2026-08-18 00:00:00,8725,8725.T,8725_20260818_01,7.0,False,True,4985.0,1.745235707121373,1.745235707121373,-4.613841524573726,0.378260869565219,2026-08-25,4.052156469408219,4.794383149448356,-4.613841524573726,1.03913043478261,2026-09-01
2026-08-18 00:00:00,4021,4021.T,4021_20260818_01,7.0,False,True,8059.0,1.5634694130785445,2.3452041196178275,-3.710137734210195,0.6321070234113745,2026-08-25,3.3006576498324947,3.8590395830748303,-3.710137734210195,1.0401337792642174,2026-09-01
2026-08-18 00:00:00,5019,5019.T,5019_20260818_01,7.0,False,True,1370.5,0.5837285662167124,1.9336008755928449,-3.429405326523172,0.5638297872340404,2026-08-25,8.17219992703393,8.17219992703393,-3.4294053265231716,2.382978723404252,2026-09-01
2026-08-18 00:00:00,8316,8316.T,8316_20260818_01,7.0,False,True,6900.0,-3.869565217391302,-2.898550724637683,-6.275362318840583,-0.4618937644341802,2026-08-25,1.5797101449275264,2.0724637681159397,-6.275362318840583,0.33025404157043825,2026-09-01
